"row_id","cgid","label","description"
2351,16297,"RTH","Respiratory"
891,14891,"RN","RN"
894,14894,"Res","Resident/Fellow/PA/NP"
897,14897,"Res","Resident/Fellow/PA/NP"
898,14898,"MD","Attending"
901,14901,"RN","RN"
903,14903,"Res","Resident/Fellow/PA/NP"
905,14905,"MD",""
906,14906,"RN","RN"
907,14907,"Res","Resident/Fellow/PA/NP"
908,14908,"RO","Read Only"
912,14912,"MD","Attending"
914,14914,"Res","Resident/Fellow/PA/NP"
915,14915,"Res","Resident/Fellow/PA/NP"
917,14917,"Res","Resident/Fellow/PA/NP"
919,14919,"MD","Attending"
920,14920,"Res","Resident/Fellow/PA/NP"
922,14922,"RN","RN"
923,14923,"Rehab","Rehabilitation"
924,14924,"Res","Resident/Fellow/PA/NP"
925,14925,"MD",""
927,14927,"RN",""
928,14928,"RO","Read Only"
929,14929,"RO","Read Only"
930,14930,"MD","Read Only"
931,14931,"RO","Read Only"
932,14932,"RO","Read Only"
933,14933,"Res","Resident/Fellow/PA/NP"
934,14934,"RN","RN"
935,14935,"MD","Attending"
937,14937,"RO","Read Only"
938,14938,"ISOPS","Administrator"
939,14939,"RN","RN"
940,14940,"MD",""
941,14941,"RO","Read Only"
943,14943,"MD",""
948,14948,"RRT","Read Only"
949,14949,"RN","RN"
954,14954,"RN","RN"
955,14955,"Admin","Administrator"
956,14956,"Res","Resident/Fellow/PA/NP"
958,14958,"MD",""
959,14959,"RO","Read Only"
960,14960,"RO","Read Only"
961,14961,"Res","Resident/Fellow/PA/NP"
962,14962,"RN",""
963,14963,"Res","Resident/Fellow/PA/NP"
967,14967,"RN",""
969,14969,"RO","Read Only"
970,14970,"CoWker",""
971,14971,"RN",""
973,14973,"RN","RN"
974,14974,"RO","Read Only"
975,14975,"RO","Read Only"
976,14976,"Med ST",""
977,14977,"PCT","PCT/NA"
978,14978,"MD",""
979,14979,"ISSupp","Administrator"
980,14980,"RO","Read Only"
982,14982,"RO","Read Only"
983,14983,"RPH","Pharmacist"
984,14984,"RO","Read Only"
986,14986,"RN","RN"
987,14987,"RN","RN"
988,14988,"RN","RN"
990,14990,"RN",""
992,14992,"RN","RN"
993,14993,"RN",""
994,14994,"CoWker",""
995,14995,"RO","Read Only"
996,14996,"RN",""
997,14997,"RN","RN"
998,14998,"RN",""
999,14999,"MD",""
1002,15002,"RNC",""
1004,15004,"RN","RN"
1005,15005,"PCA",""
1006,15006,"RO","Read Only"
1007,15007,"MD","Read Only"
1008,15008,"MD",""
1009,15009,"HMSIV",""
1010,15010,"MedSty",""
1011,15011,"MD",""
1012,15012,"RRT","Respiratory"
1013,15013,"UA",""
1014,15014,"PCT","RN"
1016,15016,"UC",""
1017,15017,"RN","RN"
1018,15018,"RN","Read Only"
1019,15019,"RRT",""
1020,15020,"RN","Read Only"
1022,15022,"Res","Resident/Fellow/PA/NP"
1023,15023,"RN","RN"
1024,15024,"RN",""
1025,15025,"RN","RN"
1027,15027,"RN",""
1028,15028,"RO","Read Only"
1030,15030,"Res","Resident/Fellow/PA/NP"
1031,15031,"RT","Respiratory"
624,14555,"CoWkr",""
627,14558,"MD",""
629,14560,"Res","Resident/Fellow/PA/NP"
630,14561,"PCT","PCT/NA"
632,14563,"Rehab","Rehabilitation"
633,14564,"RO","Read Only"
634,14565,"RN","RN"
635,14566,"Rehab","Rehabilitation"
636,14567,"MD","Attending"
637,14568,"Res","Resident/Fellow/PA/NP"
638,14569,"RO","Read Only"
639,14570,"Res","Resident/Fellow/PA/NP"
641,14572,"Res","Resident/Fellow/PA/NP"
642,14573,"MD","Attending"
643,14574,"Res","Resident/Fellow/PA/NP"
644,14575,"Res","Resident/Fellow/PA/NP"
645,14576,"RN","RN"
646,14577,"Res","Resident/Fellow/PA/NP"
649,14580,"Res","Resident/Fellow/PA/NP"
650,14581,"MD",""
651,14582,"Res","Resident/Fellow/PA/NP"
652,14583,"RO","Read Only"
654,14585,"Res","Resident/Fellow/PA/NP"
655,14586,"MD",""
656,14587,"Res","Resident/Fellow/PA/NP"
657,14588,"RN","RN"
658,14589,"RO","Read Only"
659,14590,"RO","Read Only"
660,14591,"RO","Read Only"
663,14594,"Res","Resident/Fellow/PA/NP"
664,14595,"Res","Resident/Fellow/PA/NP"
665,14596,"RO","Read Only"
666,14597,"RN","RN"
667,14598,"RNC","Read Only"
669,14600,"RN",""
670,14601,"RO","Read Only"
671,14602,"MDs","Resident/Fellow/PA/NP"
673,14604,"RN",""
674,14605,"RN","RN"
677,14608,"RN",""
678,14609,"RN",""
679,14610,"RO","Read Only"
680,14611,"Res","Resident/Fellow/PA/NP"
681,14612,"RT","Respiratory"
683,14614,"Res","Resident/Fellow/PA/NP"
688,14619,"Res","Resident/Fellow/PA/NP"
689,14620,"MD","Attending"
690,14621,"RD","Dietitian"
691,14622,"UCO","UCO"
692,14623,"CM","Case Manager"
693,14624,"Res","Resident/Fellow/PA/NP"
694,14625,"Rn","RN"
696,14627,"ISSupp","Administrator"
697,14628,"RO","Read Only"
698,14629,"MD","Resident/Fellow/PA/NP"
700,14631,"PCT","PCT/NA"
701,14632,"RPH","Pharmacist"
702,14633,"RO","Read Only"
704,14635,"RT","Respiratory"
707,14638,"RN","RN"
708,14639,"Res","Resident/Fellow/PA/NP"
709,14640,"RN","RN"
710,14641,"Rehab","Rehabilitation"
712,14643,"Res","Resident/Fellow/PA/NP"
713,14644,"Res","Resident/Fellow/PA/NP"
715,14646,"Res","Resident/Fellow/PA/NP"
716,14647,"Rehab","Rehabilitation"
717,14648,"Res","Resident/Fellow/PA/NP"
718,14649,"Res","Resident/Fellow/PA/NP"
719,14650,"PCT","PCT/NA"
721,14652,"Res","Resident/Fellow/PA/NP"
722,14653,"RO","Read Only"
723,14654,"Res","Resident/Fellow/PA/NP"
725,14656,"Res","Resident/Fellow/PA/NP"
726,14657,"RN","RN"
727,14658,"RN",""
728,14659,"MD","Attending"
730,14661,"RO","Read Only"
733,14664,"MD","Read Only"
734,14665,"MD",""
735,14666,"Res","Resident/Fellow/PA/NP"
737,14668,"RO","Read Only"
738,14669,"RO","Read Only"
739,14670,"MD",""
740,14671,"RO","Read Only"
741,14672,"RO","Read Only"
743,14674,"Studen",""
745,14676,"Res","Resident/Fellow/PA/NP"
746,14677,"Res","Resident/Fellow/PA/NP"
748,14679,"Res","Resident/Fellow/PA/NP"
749,14680,"MD","Resident/Fellow/PA/NP"
750,14681,"Res","Resident/Fellow/PA/NP"
752,14683,"RN","RN"
288,14686,"Res","Resident/Fellow/PA/NP"
289,14687,"SW","Social Worker"
290,14688,"Rehab","Rehabilitation"
291,14689,"UCO","UCO"
292,14690,"Res","Resident/Fellow/PA/NP"
293,14691,"Res","Resident/Fellow/PA/NP"
295,14693,"MD","Attending"
297,14695,"RN","RN"
298,14696,"RO","Read Only"
299,14697,"MD",""
300,14698,"RO","Read Only"
301,14699,"RO","Read Only"
302,14700,"RRT","Respiratory"
304,14702,"MD",""
305,14703,"Res","Resident/Fellow/PA/NP"
306,14704,"Res","Resident/Fellow/PA/NP"
308,14706,"RN","RN"
309,14707,"Rehab","Rehabilitation"
310,14708,"MD","Read Only"
311,14709,"Res","Resident/Fellow/PA/NP"
314,14712,"RN",""
315,14713,"RO","Read Only"
316,14714,"RN","RN"
317,14715,"MD",""
318,14716,"RN",""
319,14717,"RN",""
320,14718,"MDs","Resident/Fellow/PA/NP"
321,14719,"RN","RN"
322,14720,"LICSW",""
323,14721,"RN","Read Only"
325,14723,"U A",""
326,14724,"RO","Read Only"
327,14725,"RN",""
328,14726,"RN",""
329,14727,"Res","Resident/Fellow/PA/NP"
330,14728,"Res","Resident/Fellow/PA/NP"
332,14730,"MD",""
334,14732,"RD","Dietitian"
335,14733,"MD",""
336,14734,"StPHa",""
338,14736,"RN","RN"
339,14737,"Res","Resident/Fellow/PA/NP"
340,14738,"RPH","Pharmacist"
341,14739,"MD","Resident/Fellow/PA/NP"
342,14740,"RN",""
343,14741,"MS",""
344,14742,"RO","Read Only"
345,14743,"RRT",""
346,14744,"Rehab","Rehabilitation"
347,14745,"Res","Resident/Fellow/PA/NP"
350,14748,"RO","Read Only"
351,14749,"Res","Resident/Fellow/PA/NP"
353,14751,"RN","RN"
354,14752,"MD","Resident/Fellow/PA/NP"
355,14753,"RO","Read Only"
356,14754,"RO","Read Only"
755,14755,"RO","Read Only"
756,14756,"RO","Read Only"
758,14758,"RN","RN"
759,14759,"RN","RN"
762,14762,"RN",""
763,14763,"RN","RN"
764,14764,"RD","Dietitian"
766,14766,"Res","Resident/Fellow/PA/NP"
768,14768,"RN","RN"
769,14769,"Res","Resident/Fellow/PA/NP"
771,14771,"CoOPSt",""
773,14773,"NEOB",""
775,14775,"Res","Resident/Fellow/PA/NP"
776,14776,"PCT","PCT/NA"
777,14777,"MD","Attending"
779,14779,"SW","Social Worker"
781,14781,"MD","Attending"
782,14782,"Res","Resident/Fellow/PA/NP"
783,14783,"Rehab","Rehabilitation"
785,14785,"Res","Resident/Fellow/PA/NP"
786,14786,"MD",""
787,14787,"RN","RN"
788,14788,"Res","Resident/Fellow/PA/NP"
789,14789,"Rehab","Rehabilitation"
790,14790,"Res","Resident/Fellow/PA/NP"
792,14792,"PCT","PCT/NA"
794,14794,"MD","Resident/Fellow/PA/NP"
795,14795,"RO","Read Only"
797,14797,"MD",""
798,14798,"RPH","Pharmacist"
800,14800,"MedStu",""
801,14801,"RN","RN"
802,14802,"RN","RN"
803,14803,"Rehab","Rehabilitation"
804,14804,"RN","RN"
805,14805,"Res","Resident/Fellow/PA/NP"
806,14806,"RO","Read Only"
807,14807,"MD",""
811,14811,"RN","RN"
812,14812,"Res","Resident/Fellow/PA/NP"
813,14813,"RO","Read Only"
814,14814,"RO","Read Only"
816,14816,"RNC",""
817,14817,"RN","Read Only"
819,14819,"RPh",""
821,14821,"PT",""
822,14822,"MD",""
823,14823,"MD",""
824,14824,"Rehab","Rehabilitation"
825,14825,"RO","Read Only"
826,14826,"MD",""
827,14827,"MD",""
830,14830,"RO","Read Only"
831,14831,"Admin","Administrator"
832,14832,"RO","Read Only"
834,14834,"RN",""
835,14835,"RO","Read Only"
836,14836,"RO","Read Only"
837,14837,"MD",""
839,14839,"MDs","Resident/Fellow/PA/NP"
840,14840,"MedSt",""
841,14841,"RO","Read Only"
842,14842,"MS","Resident/Fellow/PA/NP"
843,14843,"MD",""
845,14845,"RO","Read Only"
849,14849,"RO","Read Only"
850,14850,"StNurs",""
851,14851,"MD",""
852,14852,"RO","Read Only"
853,14853,"Res","Resident/Fellow/PA/NP"
855,14855,"RN",""
856,14856,"RO","Read Only"
858,14858,"RO","Read Only"
859,14859,"RN","RN"
861,14861,"MD",""
862,14862,"RRT",""
863,14863,"RN",""
864,14864,"MD",""
865,14865,"RN",""
866,14866,"MD",""
867,14867,"MDs",""
868,14868,"MD",""
870,14870,"RT","Respiratory"
871,14871,"",""
872,14872,"RN",""
873,14873,"RO","Read Only"
876,14876,"Res","Resident/Fellow/PA/NP"
878,14878,"Res","Resident/Fellow/PA/NP"
880,14880,"RO","Read Only"
883,14883,"Res","Resident/Fellow/PA/NP"
884,14884,"Res","Resident/Fellow/PA/NP"
885,14885,"UCO","UCO"
886,14886,"Res","Resident/Fellow/PA/NP"
887,14887,"MD",""
888,14888,"MD",""
889,14889,"CoWker",""
226,14001,"RO","Read Only"
227,14002,"RO","Read Only"
228,14003,"",""
230,14005,"MD",""
231,14006,"MD",""
232,14007,"MD","Read Only"
233,14008,"RO","Read Only"
234,14009,"MDs",""
235,14010,"MDs","Resident/Fellow/PA/NP"
236,14011,"RO","Read Only"
239,14014,"RO","Read Only"
240,14015,"RO","Read Only"
241,14016,"RO","Read Only"
242,14017,"MD",""
243,14018,"RO","Read Only"
244,14019,"Res","Resident/Fellow/PA/NP"
245,14020,"RN",""
247,14022,"Res","Resident/Fellow/PA/NP"
248,14023,"RN","RN"
249,14024,"MD","Attending"
250,14025,"MD",""
252,14027,"Res","Resident/Fellow/PA/NP"
253,14028,"Res","Resident/Fellow/PA/NP"
254,14029,"MD",""
255,14030,"RO","Read Only"
256,14031,"RO","Read Only"
257,14032,"MD","Read Only"
259,14034,"Res","Resident/Fellow/PA/NP"
260,14035,"RO","Read Only"
263,14038,"Res","Resident/Fellow/PA/NP"
264,14039,"RO","Read Only"
265,14040,"MD",""
267,14042,"RO","Read Only"
268,14043,"MD",""
269,14044,"RO","Read Only"
270,14045,"MD","Attending"
273,14048,"RO","Read Only"
276,14051,"MD",""
277,14052,"MD",""
278,14053,"RO","Read Only"
279,14054,"MD","Resident/Fellow/PA/NP"
280,14055,"MD",""
281,14056,"MDs","Resident/Fellow/PA/NP"
282,14057,"MD",""
285,14060,"RO","Read Only"
287,14062,"MD",""
2,14064,"RO","Read Only"
3,14065,"MD",""
5,14067,"MD",""
6,14068,"MD",""
8,14070,"RO","Read Only"
9,14071,"RO","Read Only"
10,14072,"MD","Read Only"
11,14073,"MedStu",""
12,14074,"RO","Read Only"
13,14075,"RO","Read Only"
14,14076,"RO","Read Only"
15,14077,"",""
16,14078,"RN","RN"
20,14082,"RO","Read Only"
22,14084,"RN","RN"
23,14085,"Res","Resident/Fellow/PA/NP"
25,14087,"Res","Resident/Fellow/PA/NP"
26,14088,"RO","Read Only"
27,14089,"Res","Resident/Fellow/PA/NP"
30,14092,"MedSt",""
32,14094,"RD","Dietitian"
35,14097,"MD",""
37,14099,"MD",""
38,14100,"RO","Read Only"
42,14104,"Res","Resident/Fellow/PA/NP"
43,14105,"Fell","Resident/Fellow/PA/NP"
44,14106,"MD",""
45,14107,"MD",""
48,14110,"MD","Attending"
52,14114,"PA","Resident/Fellow/PA/NP"
53,14115,"H",""
54,14116,"MD","Attending"
55,14117,"RO","Read Only"
56,14118,"MDs",""
57,14119,"RO","Read Only"
58,14120,"RO","Read Only"
59,14121,"St",""
60,14122,"RO","Read Only"
62,14124,"RO","Read Only"
63,14125,"RO","Read Only"
64,14126,"Res","Resident/Fellow/PA/NP"
65,14127,"Res","Resident/Fellow/PA/NP"
66,14128,"MD","Resident/Fellow/PA/NP"
70,14132,"MD",""
71,14133,"RN",""
72,14134,"RO","Read Only"
73,14135,"MD","Resident/Fellow/PA/NP"
74,14136,"MD","Read Only"
77,14139,"UA",""
78,14140,"MD",""
81,14143,"MD","Resident/Fellow/PA/NP"
82,14144,"MD",""
85,14147,"RO","Read Only"
86,14148,"RO","Read Only"
87,14149,"MD",""
88,14150,"MD",""
89,14151,"RN","RN"
90,14152,"MD",""
91,14153,"RO","Read Only"
92,14154,"MDs","Resident/Fellow/PA/NP"
93,14155,"RO","Read Only"
98,14160,"RN",""
99,14161,"RO","Read Only"
100,14162,"CoOpSt",""
101,14163,"PCA",""
103,14165,"RN",""
104,14166,"RN",""
105,14167,"RRT",""
106,14168,"MD","Resident/Fellow/PA/NP"
107,14169,"RRT","Respiratory"
108,14170,"MDs",""
109,14171,"MD","Resident/Fellow/PA/NP"
111,14173,"Res","Resident/Fellow/PA/NP"
116,14178,"RO","Read Only"
117,14179,"MD",""
118,14180,"MDs","Resident/Fellow/PA/NP"
119,14181,"RO","Read Only"
120,14182,"RN","RN"
121,14183,"RPh",""
122,14184,"NP","Resident/Fellow/PA/NP"
123,14185,"MD",""
124,14186,"RN",""
125,14187,"RN","Read Only"
127,14189,"RO","Read Only"
128,14190,"MD",""
129,14191,"RN",""
130,14192,"MD","Resident/Fellow/PA/NP"
131,14193,"RO","Read Only"
132,14194,"CM","Case Manager"
133,14195,"Rehab","Rehabilitation"
135,14197,"SW","Social Worker"
138,14200,"MD","Read Only"
139,14201,"CRT",""
140,14202,"RT","Respiratory"
141,14203,"RO","Read Only"
142,14204,"RN",""
143,14205,"RN",""
144,14206,"RN","RN"
145,14207,"RO","Read Only"
146,14208,"RO","Read Only"
148,14210,"RO","Read Only"
149,14211,"RRT","Respiratory"
151,14213,"RN","RN"
153,14215,"SN",""
154,14216,"Res","Resident/Fellow/PA/NP"
155,14217,"Res","Resident/Fellow/PA/NP"
156,14218,"RO","Read Only"
157,14219,"MD","Read Only"
158,14220,"RO","Read Only"
159,14221,"MD","Attending"
160,14222,"RN","RN"
162,14224,"MD","Attending"
163,14225,"Res","Resident/Fellow/PA/NP"
164,14226,"Res","Resident/Fellow/PA/NP"
165,14227,"RO","Read Only"
166,14228,"RN","RN"
167,14229,"RO","Read Only"
168,14230,"RO","Read Only"
169,14231,"RO","Read Only"
170,14232,"RO","Read Only"
171,14233,"RO","Read Only"
172,14234,"UA","UCO"
173,14235,"Medst",""
175,14237,"MD","Read Only"
178,14240,"MD","Resident/Fellow/PA/NP"
179,14241,"RN",""
180,14242,"MDs","Read Only"
181,14243,"RO","Read Only"
182,14244,"RO","Read Only"
183,14245,"MD",""
185,14247,"RO","Read Only"
186,14248,"Rehab","Rehabilitation"
188,14250,"RO","Read Only"
189,14251,"Res","Resident/Fellow/PA/NP"
190,14252,"MDs","Attending"
191,14253,"RO","Read Only"
192,14254,"MSIV",""
194,14256,"MD",""
197,14259,"MDs",""
198,14260,"MD",""
199,14261,"SW","Social Worker"
200,14262,"STD",""
202,14264,"RN",""
203,14265,"NP","RN"
204,14266,"RN",""
205,14267,"RO","Read Only"
208,14270,"SNP",""
210,14272,"MD",""
211,14273,"MD",""
212,14274,"RN",""
213,14275,"MD",""
215,14277,"RN",""
218,14280,"MD",""
221,14283,"OTR/L",""
222,14284,"RN","RN"
223,14285,"RO","Read Only"
357,14288,"RO","Read Only"
358,14289,"RPh",""
359,14290,"DI","Dietitian"
360,14291,"MD",""
361,14292,"RO","Read Only"
363,14294,"MD",""
364,14295,"RN",""
366,14297,"MD",""
367,14298,"rn",""
368,14299,"PCT",""
369,14300,"LICSW",""
370,14301,"RO","Read Only"
371,14302,"RN",""
373,14304,"RO","Read Only"
374,14305,"MD","Resident/Fellow/PA/NP"
375,14306,"Stu",""
376,14307,"Res","Resident/Fellow/PA/NP"
377,14308,"MedStu","Read Only"
378,14309,"MD",""
384,14315,"RD","Dietitian"
385,14316,"Rehab","Rehabilitation"
386,14317,"RN","RN"
390,14321,"RO","Read Only"
391,14322,"RN",""
393,14324,"CoWkr",""
394,14325,"RN",""
395,14326,"RO","Read Only"
396,14327,"MDs","Read Only"
397,14328,"RO","Read Only"
402,14333,"MD",""
403,14334,"RT","Respiratory"
404,14335,"Rehab","Rehabilitation"
405,14336,"RO","Read Only"
407,14338,"MDs","Read Only"
408,14339,"RPh",""
409,14340,"MD",""
410,14341,"MS",""
412,14343,"MD",""
413,14344,"RO","Read Only"
415,14346,"MD",""
416,14347,"MS",""
417,14348,"RO","Read Only"
418,14349,"RO","Read Only"
419,14350,"RO","Read Only"
421,14352,"MD",""
422,14353,"DI","Dietitian"
423,14354,"MD","Resident/Fellow/PA/NP"
425,14356,"MD","Resident/Fellow/PA/NP"
426,14357,"RN","RN"
427,14358,"MD",""
428,14359,"Res","Resident/Fellow/PA/NP"
429,14360,"MD",""
431,14362,"MSIV",""
433,14364,"RO","Read Only"
434,14365,"MD","Resident/Fellow/PA/NP"
436,14367,"RN",""
437,14368,"RO","Read Only"
438,14369,"RO","Read Only"
439,14370,"RO","Read Only"
440,14371,"SRT","Respiratory"
441,14372,"R.Ph",""
442,14373,"RO","Read Only"
443,14374,"MD","Resident/Fellow/PA/NP"
444,14375,"RN",""
446,14377,"RN",""
447,14378,"RO","Read Only"
448,14379,"RN","RN"
449,14380,"RO","Read Only"
451,14382,"PhStud",""
452,14383,"MD",""
454,14385,"MD",""
455,14386,"MD",""
458,14389,"MD",""
461,14392,"RO","Read Only"
462,14393,"MD","Attending"
463,14394,"RO","Read Only"
464,14395,"RO","Read Only"
465,14396,"RO","Read Only"
466,14397,"RO","Read Only"
468,14399,"RN",""
470,14401,"RO","Read Only"
471,14402,"RO","Read Only"
472,14403,"MD",""
473,14404,"MD",""
475,14406,"RO","Read Only"
477,14408,"AL","Respiratory"
478,14409,"MD",""
479,14410,"RO","Read Only"
480,14411,"RN","RN"
481,14412,"MD",""
483,14414,"MD","Resident/Fellow/PA/NP"
484,14415,"RNC","Read Only"
486,14417,"MDs","Resident/Fellow/PA/NP"
488,14419,"RN","RN"
489,14420,"STD",""
490,14421,"RN",""
491,14422,"RN",""
492,14423,"RO","Read Only"
493,14424,"MD",""
494,14425,"RN","Read Only"
498,14429,"RN",""
499,14430,"RO","Read Only"
500,14431,"RN","RN"
501,14432,"RN",""
502,14433,"RN",""
504,14435,"RN","RN"
505,14436,"RN",""
506,14437,"RRT",""
508,14439,"RN",""
509,14440,"RN","Read Only"
510,14441,"RN","RN"
512,14443,"RN",""
513,14444,"MDs","Resident/Fellow/PA/NP"
516,14447,"MD","Attending"
518,14449,"MDs","Resident/Fellow/PA/NP"
519,14450,"RO","Read Only"
520,14451,"MD",""
521,14452,"MD",""
523,14454,"RPh","Read Only"
524,14455,"MD",""
525,14456,"Res","Resident/Fellow/PA/NP"
526,14457,"RPh",""
527,14458,"MD","Resident/Fellow/PA/NP"
529,14460,"RO","Read Only"
530,14461,"PCA",""
531,14462,"MD","Resident/Fellow/PA/NP"
532,14463,"RO","Read Only"
534,14465,"MS","Resident/Fellow/PA/NP"
535,14466,"MD",""
536,14467,"STD","Read Only"
537,14468,"RO","Read Only"
538,14469,"MD",""
539,14470,"RN",""
541,14472,"RO","Read Only"
542,14473,"MDs","Resident/Fellow/PA/NP"
544,14475,"MD","Read Only"
545,14476,"MD",""
546,14477,"ms","Resident/Fellow/PA/NP"
547,14478,"Res","Resident/Fellow/PA/NP"
549,14480,"MD",""
552,14483,"RN","RN"
554,14485,"Res","Read Only"
555,14486,"MDs","Resident/Fellow/PA/NP"
556,14487,"RO","Read Only"
558,14489,"RN",""
560,14491,"MedSt",""
561,14492,"MD",""
562,14493,"RO","Read Only"
563,14494,"MD","Resident/Fellow/PA/NP"
564,14495,"MD","Attending"
566,14497,"RPH","Pharmacist"
567,14498,"RO","Read Only"
568,14499,"NP","Read Only"
569,14500,"RO","Read Only"
570,14501,"RO","Read Only"
571,14502,"RO","Read Only"
572,14503,"MD",""
574,14505,"Res","Resident/Fellow/PA/NP"
577,14508,"MDs","Resident/Fellow/PA/NP"
578,14509,"RO","Read Only"
581,14512,"MD",""
582,14513,"RO","Read Only"
585,14516,"RO","Read Only"
589,14520,"RO","Read Only"
590,14521,"MDs","Resident/Fellow/PA/NP"
593,14524,"MD","Resident/Fellow/PA/NP"
595,14526,"MD",""
596,14527,"RO","Read Only"
597,14528,"Res","Resident/Fellow/PA/NP"
600,14531,"MDs","Read Only"
601,14532,"RO","Read Only"
602,14533,"Res","Resident/Fellow/PA/NP"
603,14534,"MS",""
604,14535,"RPh",""
605,14536,"MD",""
606,14537,"Rehab","Rehabilitation"
607,14538,"RO","Read Only"
609,14540,"UA",""
611,14542,"RN","RN"
612,14543,"MD","Attending"
613,14544,"Res","Resident/Fellow/PA/NP"
614,14545,"MD",""
615,14546,"Res","Resident/Fellow/PA/NP"
616,14547,"UCO","UCO"
618,14549,"RPH","Pharmacist"
621,14552,"MD","Resident/Fellow/PA/NP"
1949,15949,"RO","Read Only"
1950,15950,"MD",""
1952,15952,"DI",""
1953,15953,"Res","Resident/Fellow/PA/NP"
1954,15954,"RO","Read Only"
1955,15955,"RO","Read Only"
1956,15956,"MedSt",""
1957,15957,"RO","Read Only"
1958,15958,"RO","Read Only"
1959,15959,"MD","Resident/Fellow/PA/NP"
1960,15960,"RO","Read Only"
1961,15961,"MD","Read Only"
1962,15962,"RO","Read Only"
1963,15963,"RRT",""
1964,15964,"MD","Read Only"
1967,15967,"RO","Read Only"
1968,15968,"RN","RN"
1969,15969,"CoWker",""
1971,15971,"RO","Read Only"
1973,15973,"RO","Read Only"
1974,15974,"RO","Read Only"
1975,15975,"RO","Read Only"
1976,15976,"MD",""
1979,15979,"MD","Read Only"
1980,15980,"MS","Dietitian"
1981,15981,"Res","Resident/Fellow/PA/NP"
1983,15983,"RN",""
1984,15984,"RO","Read Only"
1985,15985,"PCA",""
1986,15986,"RN",""
1988,15988,"MS",""
1989,15989,"RO","Read Only"
1990,15990,"RN",""
1992,15992,"RO","Read Only"
1993,15993,"MDs","Resident/Fellow/PA/NP"
1994,15994,"CoOpSt",""
1995,15995,"RO","Read Only"
1996,15996,"RN",""
2000,16000,"RO","Read Only"
2001,16001,"RO","Read Only"
2002,16002,"RO","Read Only"
2005,16005,"RN",""
2006,16006,"RO","Read Only"
2008,16008,"RO","Read Only"
2009,16009,"Nurs","RN"
2010,16010,"RN",""
2011,16011,"Ms","Resident/Fellow/PA/NP"
2013,16013,"RN",""
2014,16014,"RO","Read Only"
2015,16015,"RN",""
2016,16016,"RO","Read Only"
2019,16019,"MDs",""
2020,16020,"RN","Case Manager"
