"row_id","itemid","label","fluid","category","loinc_code"
88,50887,"Blue Top Hold","Blood","Chemistry",""
89,50888,"Blue Top Hold Frozen","Blood","Chemistry",""
90,50889,"C-Reactive Protein","Blood","Chemistry","1988-5"
91,50890,"C3","Blood","Chemistry","4485-9"
92,50891,"C4","Blood","Chemistry","4498-2"
93,50892,"CA-125","Blood","Chemistry","10334-1"
97,50896,"Calculated Thyroxine (T4) Index","Blood","Chemistry","32215-6"
98,50897,"Call","Blood","Chemistry",""
100,50899,"Carbamazepine","Blood","Chemistry","3432-2"
101,50900,"Carcinoembyronic Antigen (CEA)","Blood","Chemistry","2039-6"
102,50901,"Centromere","Blood","Chemistry","16570-4"
103,50902,"Chloride","Blood","Chemistry","2075-0"
104,50903,"Cholesterol Ratio (Total/HDL)","Blood","Chemistry","9322-9"
109,50908,"CK-MB Index","Blood","Chemistry","20569-0"
110,50909,"Cortisol","Blood","Chemistry","2143-6"
111,50910,"Creatine Kinase (CK)","Blood","Chemistry","2157-6"
114,50913,"Cryoglobulin","Blood","Chemistry","5117-7"
115,50914,"Cyclosporin","Blood","Chemistry","3521-2"
116,50915,"D-Dimer","Blood","Chemistry",""
117,50916,"DHEA-Sulfate","Blood","Chemistry","2191-5"
118,50917,"Digoxin","Blood","Chemistry","10535-3"
119,50918,"Double Stranded DNA","Blood","Chemistry","5130-0"
121,50920,"Estimated GFR (MDRD equation)","Blood","Chemistry","33914-3"
122,50921,"Estradiol","Blood","Chemistry","2243-4"
123,50922,"Ethanol","Blood","Chemistry","5642-4"
124,50923,"Fax","Blood","Chemistry",""
126,50925,"Folate","Blood","Chemistry","2284-8"
129,50928,"Gastrin","Blood","Chemistry","2333-3"
132,50931,"Glucose","Blood","Chemistry","2345-7"
133,50932,"Gray Top Hold (plasma)","Blood","Chemistry",""
136,50935,"Haptoglobin","Blood","Chemistry","4542-7"
138,50937,"Hepatitis A Virus Antibody","Blood","Chemistry","5183-9"
140,50939,"Hepatitis B Core Antibody, IgM","Blood","Chemistry","31204-1"
141,50940,"Hepatitis B Surface Antibody","Blood","Chemistry","5193-8"
142,50941,"Hepatitis B Surface Antigen","Blood","Chemistry","5196-1"
143,50942,"Hepatitis B Virus Core Antibody","Blood","Chemistry","5187-0"
147,50946,"Human Chorionic Gonadotropin","Blood","Chemistry","2119-6"
149,50948,"Immunofixation","Blood","Chemistry","49275-1"
150,50949,"Immunoglobulin A","Blood","Chemistry","2458-8"
152,50951,"Immunoglobulin M","Blood","Chemistry","2472-9"
154,50953,"Iron Binding Capacity, Total","Blood","Chemistry","2500-7"
155,50954,"Lactate Dehydrogenase (LD)","Blood","Chemistry","2532-0"
157,50956,"Lipase","Blood","Chemistry","3040-3"
158,50957,"Lithium","Blood","Chemistry","3719-2"
159,50958,"Luteinizing Hormone","Blood","Chemistry","1599-0"
160,50959,"Macro Prolactin","Blood","Chemistry",""
162,50961,"Methotrexate","Blood","Chemistry",""
163,50962,"N-Acetylprocainamide (NAPA)","Blood","Chemistry","3834-9"
164,50963,"NTproBNP","Blood","Chemistry","33762-6"
165,50964,"Osmolality, Measured","Blood","Chemistry","2692-2"
166,50965,"Parathyroid Hormone","Blood","Chemistry","2731-8"
167,50966,"Phenobarbital","Blood","Chemistry","3947-9"
168,50967,"Phenytoin","Blood","Chemistry","3967-7"
169,50968,"Phenytoin, Free","Blood","Chemistry","3969-3"
170,50969,"Phenytoin, Percent Free","Blood","Chemistry","10548-6"
172,50971,"Potassium","Blood","Chemistry","2823-3"
173,50972,"Procainamide","Blood","Chemistry","3982-6"
174,50973,"Prolactin","Blood","Chemistry","2842-3"
175,50974,"Prostate Specific Antigen","Blood","Chemistry","2857-1"
176,50975,"Protein Electrophoresis","Blood","Chemistry","24351-9"
178,50977,"Quinidine","Blood","Chemistry","6694-4"
183,50982,"Sex Hormone Binding Globulin","Blood","Chemistry","2942-1"
184,50983,"Sodium","Blood","Chemistry","2951-2"
189,50989,"Testosterone, Free","Blood","Chemistry","2991-8"
190,50990,"Theophylline","Blood","Chemistry","4049-3"
191,50991,"Thyroglobulin","Blood","Chemistry","3013-0"
193,50993,"Thyroid Stimulating Hormone","Blood","Chemistry","3016-3"
194,50994,"Thyroxine (T4)","Blood","Chemistry","3026-2"
195,50995,"Thyroxine (T4), Free","Blood","Chemistry","3024-7"
196,50996,"Tissue Transglutaminase Ab, IgA","Blood","Chemistry","31017-7"
197,50997,"Tobramycin","Blood","Chemistry","35670-9"
198,50998,"Transferrin","Blood","Chemistry","2500-7"
202,51002,"Troponin I","Blood","Chemistry","10839-9"
204,51004,"UE3, Maternal Screen","Blood","Chemistry",""
205,51005,"Uptake Ratio","Blood","Chemistry","3050-2"
206,51006,"Urea Nitrogen","Blood","Chemistry","3094-0"
208,51008,"Valproic Acid","Blood","Chemistry","4086-5"
209,51009,"Vancomycin","Blood","Chemistry","20578-1"
210,51010,"Vitamin B12","Blood","Chemistry","2170-9"
211,51011,"<Albumin>","Cerebrospinal Fluid (CSF)","Chemistry","1746-7"
212,51012,"Bilirubin, Total, CSF","Cerebrospinal Fluid (CSF)","Chemistry","1973-7"
213,51013,"Chloride, CSF","Cerebrospinal Fluid (CSF)","Chemistry",""
214,51014,"Glucose, CSF","Cerebrospinal Fluid (CSF)","Chemistry","2342-4"
215,51015,"Lactate Dehydrogenase, CSF","Cerebrospinal Fluid (CSF)","Chemistry","2528-8"
217,51017,"PEP, CSF","Cerebrospinal Fluid (CSF)","Chemistry","24352-7"
218,51018,"Total Protein, CSF","Cerebrospinal Fluid (CSF)","Chemistry","2880-3"
219,51019,"Albumin, Joint Fluid","Joint Fluid","Chemistry",""
221,51021,"Creatinine, Joint Fluid","Joint Fluid","Chemistry","14401-4"
222,51022,"Glucose, Joint Fluid","Joint Fluid","Chemistry","2348-1"
223,51023,"LD, Joint Fluid","Joint Fluid","Chemistry","2533-8"
225,51025,"Albumin, Body Fluid","Other Body Fluid","Chemistry","1747-5"
227,51027,"Bicarbonate, Other Fluid","Other Body Fluid","Chemistry","11211-0"
228,51028,"Bilirubin, Total, Body Fluid","Other Body Fluid","Chemistry","1974-5"
229,51029,"Calcium, Body Fluid","Other Body Fluid","Chemistry","15155-5"
230,51030,"Chloride, Body Fluid","Other Body Fluid","Chemistry","2072-7"
231,51031,"Cholesterol, Body Fluid","Other Body Fluid","Chemistry","12183-0"
232,51032,"Creatinine, Body Fluid","Other Body Fluid","Chemistry","12190-5"
233,51033,"FetalFN","Other Body Fluid","Chemistry",""
234,51034,"Glucose, Body Fluid","Other Body Fluid","Chemistry","2344-0"
237,51037,"Magnesium, Body Fluid","Other Body Fluid","Chemistry","29365-4"
239,51039,"Osmolality, Body Fluid","Other Body Fluid","Chemistry","15200-9"
240,51040,"Phosphate, Body Fluid","Other Body Fluid","Chemistry","12242-4"
241,51041,"Potassium, Body Fluid","Other Body Fluid","Chemistry","2821-7"
242,51042,"Sodium, Body Fluid","Other Body Fluid","Chemistry","2950-4"
243,51043,"Total Protein, Body Fluid","Other Body Fluid","Chemistry","2881-1"
244,51044,"Triglycer","Other Body Fluid","Chemistry","12228-3"
245,51045,"Urea Nitrogen, Body Fluid","Other Body Fluid","Chemistry","3093-2"
246,51046,"Albumin, Pleural","Pleural","Chemistry","1748-3"
247,51047,"Amylase, Pleural","Pleural","Chemistry","1796-2"
248,51048,"Bicarbonate, Pleural","Pleural","Chemistry","54361-1"
249,51049,"Bilirubin, Total, Pleural","Pleural","Chemistry","14421-2"
251,51051,"Cholesterol, Pleural","Pleural","Chemistry","9618-0"
252,51052,"Creatinine, Pleural","Pleural","Chemistry","14399-0"
253,51053,"Glucose, Pleural","Pleural","Chemistry","2346-5"
254,51054,"Lactate Dehydrogenase, Pleural","Pleural","Chemistry","2530-4"
255,51055,"Lipase, Pleural","Pleural","Chemistry",""
257,51057,"Potassium, Pleural","Pleural","Chemistry",""
258,51058,"Sodium, Pleural","Pleural","Chemistry",""
259,51059,"Total Protein, Pleural","Pleural","Chemistry","2882-9"
260,51060,"Triglycerides, Pleural","Pleural","Chemistry","9619-8"
262,51062,"Chloride, Stool","Stool","Chemistry","15158-9"
263,51063,"Osmolality, Stool","Stool","Chemistry","2693-0"
265,51065,"Sodium, Stool","Stool","Chemistry","15207-4"
266,51066,"24 hr Calcium","Urine","Chemistry","6874-2"
268,51068,"24 hr Protein","Urine","Chemistry","2889-4"
271,51071,"Amphetamine Screen, Urine","Urine","Chemistry","3349-8"
273,51073,"Amylase/Creatinine Ratio, Urine","Urine","Chemistry","34235-2"
274,51074,"Barbiturate Screen, Urine","Urine","Chemistry","3377-9"
276,51076,"Bicarbonate, Urine","Urine","Chemistry","1964-6"
277,51077,"Calcium, Urine","Urine","Chemistry","2004-0"
278,51078,"Chloride, Urine","Urine","Chemistry","2078-4"
279,51079,"Cocaine, Urine","Urine","Chemistry","3397-7"
280,51080,"Creatinine Clearance","Urine","Chemistry","33558-8"
281,51081,"Creatinine, Serum","Urine","Chemistry",""
282,51082,"Creatinine, Urine","Urine","Chemistry","2161-8"
283,51083,"Ethanol, Urine","Urine","Chemistry","5644-0"
285,51085,"HCG, Urine, Qualitative","Urine","Chemistry","2106-3"
286,51086,"Immunofixation, Urine","Urine","Chemistry","49276-9"
287,51087,"Length of Urine Collection","Urine","Chemistry","13362-9"
288,51088,"Magnesium, Urine","Urine","Chemistry","2598-1"
289,51089,"Marijuana","Urine","Chemistry","3427-2"
290,51090,"Methadone, Urine","Urine","Chemistry","3773-9"
293,51093,"Osmolality, Urine","Urine","Chemistry","2695-5"
294,51094,"pH","Urine","Chemistry","2756-5"
295,51095,"Phosphate, Urine","Urine","Chemistry","2778-9"
296,51096,"Porphobilinogen Screen","Urine","Chemistry","2809-2"
298,51098,"Prot. Electrophoresis, Urine","Urine","Chemistry","13438-7"
299,51099,"Protein/Creatinine Ratio","Urine","Chemistry","2890-2"
300,51100,"Sodium, Urine","Urine","Chemistry","2955-3"
301,51101,"Total Collection Time","Urine","Chemistry","13362-9"
302,51102,"Total Protein, Urine","Urine","Chemistry","2887-8"
303,51103,"Uhold","Urine","Chemistry",""
304,51104,"Urea Nitrogen, Urine","Urine","Chemistry","3095-7"
307,51107,"Urine tube, held","Urine","Chemistry",""
308,51108,"Urine Volume","Urine","Chemistry","28009-9"
309,51109,"Urine Volume, Total","Urine","Chemistry","28009-9"
310,51110,"Atypical Lymphocytes","Ascites","Hematology","33369-0"
311,51111,"Bands","Ascites","Hematology",""
313,51113,"Blasts","Ascites","Hematology",""
314,51114,"Eosinophils","Ascites","Hematology","30380-0"
315,51115,"Hematocrit, Ascites","Ascites","Hematology",""
317,51117,"Macrophage","Ascites","Hematology","40517-5"
318,51118,"Mesothelial Cell","Ascites","Hematology","30432-9"
321,51121,"Myelocytes","Ascites","Hematology",""
322,51122,"Nucleated RBC","Ascites","Hematology",""
323,51123,"Other","Ascites","Hematology",""
324,51124,"Plasma","Ascites","Hematology","40518-3"
325,51125,"Polys","Ascites","Hematology","26520-7"
327,51127,"RBC, Ascites","Ascites","Hematology","26457-2"
332,51132,"Absolute CD8 Count","Blood","Hematology","8138-0"
333,51133,"Absolute Lymphocyte Count","Blood","Hematology","26474-7"
334,51134,"Acanthocytes","Blood","Hematology","7789-1"
335,51135,"ADP","Blood","Hematology",""
336,51136,"Alpha Antiplasmin","Blood","Hematology",""
337,51137,"Anisocytosis","Blood","Hematology","702-1"
338,51138,"Anticardiolipin Antibody IgG","Blood","Hematology","8065-5"
340,51140,"Antithrombin","Blood","Hematology","27811-9"
341,51141,"APT Test","Blood","Hematology",""
342,51142,"Arachadonic Acid","Blood","Hematology",""
344,51144,"Bands","Blood","Hematology","763-3"
345,51145,"Basophilic Stippling","Blood","Hematology","703-9"
346,51146,"Basophils","Blood","Hematology","704-7"
348,51148,"Blasts","Blood","Hematology","708-8"
351,51151,"Burr Cells","Blood","Hematology","7790-9"
352,51152,"CD10","Blood","Hematology","8107-5"
353,51153,"CD103","Blood","Hematology",""
354,51154,"CD117","Blood","Hematology","17107-4"
356,51156,"CD13","Blood","Hematology","8110-9"
357,51157,"CD138","Blood","Hematology","42869-8"
359,51159,"CD15","Blood","Hematology","17117-3"
360,51160,"CD16/56","Blood","Hematology","18267-5"
361,51161,"CD16","Blood","Hematology","8115-8"
362,51162,"CD16/56 Absolute Count","Blood","Hematology",""
363,51163,"CD16/56%","Blood","Hematology",""
365,51165,"CD19 %","Blood","Hematology",""
366,51166,"CD19 Absolute Count","Blood","Hematology",""
367,51167,"CD2","Blood","Hematology","8118-2"
369,51169,"CD20 %","Blood","Hematology",""
370,51170,"CD20 Absolute Count","Blood","Hematology",""
371,51171,"CD22","Blood","Hematology","14017-8"
372,51172,"CD23","Blood","Hematology","14018-6"
374,51174,"CD3 %","Blood","Hematology",""
377,51177,"CD33","Blood","Hematology","8102-6"
378,51178,"CD34","Blood","Hematology","8125-7"
379,51179,"CD38","Blood","Hematology","8126-5"
381,51181,"CD4/CD8 Ratio","Blood","Hematology","8129-9"
382,51182,"CD41","Blood","Hematology","17148-8"
383,51183,"CD45","Blood","Hematology","8130-7"
384,51184,"CD5","Blood","Hematology","8132-3"
385,51185,"CD5 %","Blood","Hematology",""
387,51187,"CD55","Blood","Hematology","17175-1"
389,51189,"CD57","Blood","Hematology",""
390,51190,"CD59","Blood","Hematology","17177-7"
392,51192,"CD7","Blood","Hematology","8135-6"
393,51193,"CD71","Blood","Hematology","8136-4"
394,51194,"CD8 Cells, Percent","Blood","Hematology","8137-2"
396,51196,"D-Dimer","Blood","Hematology","48065-7"
399,51199,"Eosinophil Count","Blood","Hematology","26449-9"
400,51200,"Eosinophils","Blood","Hematology","711-2"
401,51201,"Epinepherine","Blood","Hematology",""
402,51202,"Factor II","Blood","Hematology","3289-6"
403,51203,"Factor IX","Blood","Hematology","3188-0"
404,51204,"Factor V","Blood","Hematology","3193-0"
406,51206,"Factor VIII","Blood","Hematology","3209-4"
408,51208,"Factor X","Blood","Hematology","3218-5"
409,51209,"Factor XI","Blood","Hematology","3226-8"
410,51210,"Factor XII","Blood","Hematology","3232-6"
411,51211,"Factor XIII","Blood","Hematology","3240-9"
412,51212,"Fetal Hemoglobin","Blood","Hematology","4576-5"
413,51213,"Fibrin Degradation Products","Blood","Hematology","30226-5"
415,51215,"FMC-7","Blood","Hematology","17220-5"
416,51216,"Fragmented Cells","Blood","Hematology","10373-9"
417,51217,"Glyco A","Blood","Hematology","17221-3"
419,51219,"H/O Smear","Blood","Hematology","38924-7"
420,51220,"Heinz Body Prep","Blood","Hematology","48068-1"
421,51221,"Hematocrit","Blood","Hematology","4544-3"
422,51222,"Hemoglobin","Blood","Hematology","718-7"
425,51225,"Hemoglobin F","Blood","Hematology","9749-3"
426,51226,"Hemogloblin A","Blood","Hematology","10346-5"
427,51227,"Hemogloblin S","Blood","Hematology","4622-7"
428,51228,"Heparin","Blood","Hematology","13055-9"
429,51229,"Heparin, LMW","Blood","Hematology","32684-3"
430,51230,"HLA-DR","Blood","Hematology","32621-5"
431,51231,"Howell-Jolly Bodies","Blood","Hematology","7793-3"
432,51232,"Hypersegmented Neutrophils","Blood","Hematology","766-6"
433,51233,"Hypochromia","Blood","Hematology","728-6"
434,51234,"Immunophenotyping","Blood","Hematology",""
436,51236,"Inpatient Hematology/Oncology Smear","Blood","Hematology",""
437,51237,"INR(PT)","Blood","Hematology","5895-7"
438,51238,"Kappa","Blood","Hematology",""
439,51239,"Lambda","Blood","Hematology",""
440,51240,"Large Platelets","Blood","Hematology","34167-7"
441,51241,"Leukocyte Alkaline Phosphatase","Blood","Hematology","4659-9"
443,51243,"Lupus Anticoagulant","Blood","Hematology",""
445,51245,"Lymphocytes, Percent","Blood","Hematology","26478-8"
446,51246,"Macrocytes","Blood","Hematology","738-5"
447,51247,"MacroOvalocytes","Blood","Hematology","10376-2"
449,51249,"MCHC","Blood","Hematology","786-4"
450,51250,"MCV","Blood","Hematology","787-2"
451,51251,"Metamyelocytes","Blood","Hematology","28541-1"
452,51252,"Microcytes","Blood","Hematology","741-9"
453,51253,"Monocyte Count","Blood","Hematology","26484-6"
454,51254,"Monocytes","Blood","Hematology","742-7"
455,51255,"Myelocytes","Blood","Hematology","26498-6"
456,51256,"Neutrophils","Blood","Hematology","761-7"
457,51257,"Nucleated Red Cells","Blood","Hematology","772-4"
458,51258,"Osmotic Fragility","Blood","Hematology","34964-7"
461,51261,"Pappenheimer Bodies","Blood","Hematology","7795-8"
462,51262,"Pencil Cells","Blood","Hematology","10377-0"
464,51264,"Platelet Clumps","Blood","Hematology","40741-1"
465,51265,"Platelet Count","Blood","Hematology","777-3"
466,51266,"Platelet Smear","Blood","Hematology","778-1"
467,51267,"Poikilocytosis","Blood","Hematology","779-9"
468,51268,"Polychromasia","Blood","Hematology","10378-8"
469,51269,"Promyelocytes","Blood","Hematology","781-5"
471,51271,"Protein C, Functional","Blood","Hematology","27818-4"
472,51272,"Protein S, Antigen","Blood","Hematology","27823-4"
475,51275,"PTT","Blood","Hematology","3173-2"
476,51276,"Quantitative G6PD","Blood","Hematology","32546-4"
477,51277,"RDW","Blood","Hematology","788-0"
479,51279,"Red Blood Cells","Blood","Hematology","789-8"
481,51281,"Reptilase Time Control","Blood","Hematology",""
482,51282,"Reticulocyte Count, Absolute","Blood","Hematology","14196-0"
484,51284,"Reticulocyte Count, Manual","Blood","Hematology","31112-6"
486,51286,"Ristocetin","Blood","Hematology",""
488,51288,"Sedimentation Rate","Blood","Hematology","4537-7"
489,51289,"Serum Viscosity","Blood","Hematology","3128-6"
490,51290,"Sickle Cell Preparation","Blood","Hematology","6864-3"
492,51292,"Spherocytes","Blood","Hematology","802-9"
494,51294,"Target Cells","Blood","Hematology","10381-2"
495,51295,"TdT","Blood","Hematology",""
496,51296,"Teardrop Cells","Blood","Hematology","7791-7"
498,51298,"Von Willebrand Factor Activity","Blood","Hematology","6014-5"
499,51299,"Von Willebrand Factor Antigen","Blood","Hematology","6012-9"
500,51300,"WBC Count","Blood","Hematology","26464-8"
501,51301,"White Blood Cells","Blood","Hematology","804-5"
502,51302,"Young Cells","Blood","Hematology","51633-6"
503,51303,"CD10","Bone Marrow","Hematology","51216-0"
505,51305,"CD117","Bone Marrow","Hematology","42866-4"
507,51307,"CD13","Bone Marrow","Hematology","51237-6"
508,51308,"CD138","Bone Marrow","Hematology",""
510,51310,"CD15","Bone Marrow","Hematology","51251-7"
511,51311,"CD16","Bone Marrow","Hematology",""
513,51313,"CD19","Bone Marrow","Hematology","32525-8"
514,51314,"CD2","Bone Marrow","Hematology","32527-4"
515,51315,"CD20","Bone Marrow","Hematology",""
516,51316,"CD22","Bone Marrow","Hematology",""
517,51317,"CD23","Bone Marrow","Hematology","51268-1"
518,51318,"CD25","Bone Marrow","Hematology",""
519,51319,"CD3","Bone Marrow","Hematology","32529-0"
520,51320,"CD33","Bone Marrow","Hematology","51293-9"
524,51324,"CD41","Bone Marrow","Hematology","51319-2"
525,51325,"CD45","Bone Marrow","Hematology","51340-8"
526,51326,"CD5","Bone Marrow","Hematology","35640-2"
527,51327,"CD55","Bone Marrow","Hematology","51344-0"
529,51329,"CD57","Bone Marrow","Hematology",""
530,51330,"CD59","Bone Marrow","Hematology","51358-0"
532,51332,"CD7","Bone Marrow","Hematology","35641-0"
534,51334,"CD8","Bone Marrow","Hematology","51372-1"
535,51335,"FMC-7","Bone Marrow","Hematology",""
536,51336,"Glyco A","Bone Marrow","Hematology","33208-0"
537,51337,"HLA-DR","Bone Marrow","Hematology","51380-4"
538,51338,"Immunophenotyping","Bone Marrow","Hematology",""
539,51339,"Iron Stain","Bone Marrow","Hematology","13513-7"
540,51340,"Kappa","Bone Marrow","Hematology",""
543,51343,"Atypical Lymphocytes","Cerebrospinal Fluid (CSF)","Hematology","30416-2"
544,51344,"Bands","Cerebrospinal Fluid (CSF)","Hematology","26509-0"
545,51345,"Basophils","Cerebrospinal Fluid (CSF)","Hematology","30374-3"
547,51347,"Eosinophils","Cerebrospinal Fluid (CSF)","Hematology","26451-5"
548,51348,"Hematocrit, CSF","Cerebrospinal Fluid (CSF)","Hematology","30398-2"
549,51349,"Hypersegmented Neutrophils","Cerebrospinal Fluid (CSF)","Hematology","26506-6"
550,51350,"Immunophenotyping","Cerebrospinal Fluid (CSF)","Hematology",""
552,51352,"Macrophage","Cerebrospinal Fluid (CSF)","Hematology","30426-1"
553,51353,"Mesothelial cells","Cerebrospinal Fluid (CSF)","Hematology","30429-5"
554,51354,"Metamyelocytes","Cerebrospinal Fluid (CSF)","Hematology","30366-9"
555,51355,"Monocytes","Cerebrospinal Fluid (CSF)","Hematology","26486-1"
556,51356,"Myelocytes","Cerebrospinal Fluid (CSF)","Hematology","30447-7"
558,51358,"Other","Cerebrospinal Fluid (CSF)","Hematology",""
562,51362,"RBC, CSF","Cerebrospinal Fluid (CSF)","Hematology","26454-9"
563,51363,"WBC, CSF","Cerebrospinal Fluid (CSF)","Hematology","26465-5"
564,51364,"Young","Cerebrospinal Fluid (CSF)","Hematology",""
565,51365,"Atypical Lymphocytes","Joint Fluid","Hematology","33371-6"
566,51366,"Bands","Joint Fluid","Hematology","33361-7"
568,51368,"Eosinophils","Joint Fluid","Hematology","17834-3"
569,51369,"Hematocrit, Joint Fluid","Joint Fluid","Hematology",""
571,51371,"Joint Crystals, Comment","Joint Fluid","Hematology",""
572,51372,"Joint Crystals, Location","Joint Fluid","Hematology",""
574,51374,"Joint Crystals, Shape","Joint Fluid","Hematology",""
575,51375,"Lymphocytes","Joint Fluid","Hematology","26483-8"
576,51376,"Macrophage","Joint Fluid","Hematology","33376-5"
577,51377,"Mesothelial Cells","Joint Fluid","Hematology","33365-8"
578,51378,"Metamyelocytes","Joint Fluid","Hematology",""
579,51379,"Monocytes","Joint Fluid","Hematology","17835-0"
580,51380,"NRBC","Joint Fluid","Hematology","48040-0"
581,51381,"Other","Joint Fluid","Hematology",""
583,51383,"RBC, Joint Fluid","Joint Fluid","Hematology","26458-0"
584,51384,"WBC, Joint Fluid","Joint Fluid","Hematology","26469-7"
585,51385,"Atypical Lymphocytes","Other Body Fluid","Hematology","30417-0"
586,51386,"Bands","Other Body Fluid","Hematology","26510-8"
589,51389,"CD103","Other Body Fluid","Hematology",""
591,51391,"CD11c","Other Body Fluid","Hematology","51232-7"
593,51393,"CD138","Other Body Fluid","Hematology","42871-4"
596,51396,"CD16","Other Body Fluid","Hematology",""
597,51397,"CD16/56","Other Body Fluid","Hematology","18268-3"
598,51398,"CD19","Other Body Fluid","Hematology","17829-3"
599,51399,"CD2","Other Body Fluid","Hematology","17827-7"
600,51400,"CD20","Other Body Fluid","Hematology","57418-6"
601,51401,"CD22","Other Body Fluid","Hematology","42875-5"
602,51402,"CD23","Other Body Fluid","Hematology","51269-9"
604,51404,"CD3","Other Body Fluid","Hematology","17826-9"
605,51405,"CD33","Other Body Fluid","Hematology","51294-7"
606,51406,"CD34","Other Body Fluid","Hematology",""
608,51408,"CD4","Other Body Fluid","Hematology","17822-8"
609,51409,"CD4/CD8 Ratio","Other Body Fluid","Hematology","18266-7"
610,51410,"CD41","Other Body Fluid","Hematology","51320-0"
611,51411,"CD45","Other Body Fluid","Hematology","17823-6"
612,51412,"CD5","Other Body Fluid","Hematology","57423-6"
613,51413,"CD56","Other Body Fluid","Hematology","57424-4"
614,51414,"CD57","Other Body Fluid","Hematology",""
617,51417,"CD71","Other Body Fluid","Hematology","57426-9"
618,51418,"CD8","Other Body Fluid","Hematology","17824-4"
619,51419,"Eosinophils","Other Body Fluid","Hematology","26452-3"
620,51420,"FMC-7","Other Body Fluid","Hematology","57428-5"
621,51421,"Glyco A","Other Body Fluid","Hematology","57430-1"
622,51422,"Hematocrit, Other Fluid","Other Body Fluid","Hematology","11153-4"
623,51423,"HLA-DR","Other Body Fluid","Hematology","51381-2"
625,51425,"Kappa","Other Body Fluid","Hematology",""
626,51426,"Lambda","Other Body Fluid","Hematology",""
627,51427,"Lymphocytes","Other Body Fluid","Hematology","11031-2"
