"row_id","icd9_code","short_title","long_title"
83,"00849","Bacterial enteritis NEC","Intestinal infection due to other organisms"
84,"0085","Bacterial enteritis NOS","Bacterial enteritis, unspecified"
86,"00862","Intes infec adenovirus","Enteritis due to adenovirus"
87,"00863","Int inf norwalk virus","Enteritis due to norwalk virus"
88,"00864","Int inf oth sml rnd vrus","Enteritis due to other small round viruses [SRV's]"
89,"00865","Enteritis d/t calicivirs","Enteritis due to calicivirus"
90,"00866","Intes infec astrovirus","Enteritis due to astrovirus"
91,"00867","Int inf enterovirus NEC","Enteritis due to enterovirus nec"
92,"00869","Other viral intes infec","Enteritis due to other viral enteritis"
93,"0088","Viral enteritis NOS","Intestinal infection due to other organism, not elsewhere classified"
97,"0093","Diarrhea of infect orig","Diarrhea of presumed infectious origin"
98,"01000","Prim TB complex-unspec","Primary tuberculous infection, unspecified"
100,"01002","Prim TB complex-exm unkn","Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
101,"01003","Prim TB complex-micro dx","Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
102,"01004","Prim TB complex-cult dx","Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
103,"01005","Prim TB complex-histo dx","Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,"01006","Prim TB complex-oth test","Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
109,"01014","Prim TB pleurisy-cult dx","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
110,"01015","Prim TB pleuris-histo dx","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
111,"01016","Prim TB pleuris-oth test","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
114,"01082","Prim pr TB NEC-exam unkn","Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
115,"01083","Prim prg TB NEC-micro dx","Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
116,"01084","Prim prog TB NEC-cult dx","Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
117,"01085","Prim prg TB NEC-histo dx","Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
118,"01086","Prim prg TB NEC-oth test","Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
119,"01090","Primary TB NOS-unspec","Primary tuberculous infection, unspecified, unspecified"
121,"01092","Primary TB NOS-exam unkn","Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
122,"01093","Primary TB NOS-micro dx","Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
123,"01094","Primary TB NOS-cult dx","Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
124,"01095","Primary TB NOS-histo dx","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
126,"01100","TB lung infiltr-unspec","Tuberculosis of lung, infiltrative, unspecified"
129,"01103","TB lung infiltr-micro dx","Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
132,"01106","TB lung infiltr-oth test","Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
133,"01110","TB lung nodular-unspec","Tuberculosis of lung, nodular, unspecified"
136,"01113","TB lung nodular-micro dx","Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
138,"01115","TB lung nodular-histo dx","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
140,"01120","TB lung w cavity-unspec","Tuberculosis of lung with cavitation, unspecified"
141,"01121","TB lung w cavity-no exam","Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
142,"01122","TB lung cavity-exam unkn","Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
143,"01123","TB lung w cavit-micro dx","Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
147,"01130","TB of bronchus-unspec","Tuberculosis of bronchus, unspecified"
149,"01132","TB of bronchus-exam unkn","Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
150,"01133","TB of bronchus-micro dx","Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
152,"01135","TB of bronchus-histo dx","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
154,"01140","TB lung fibrosis-unspec","Tuberculous fibrosis of lung, unspecified"
155,"01141","TB lung fibrosis-no exam","Tuberculous fibrosis of lung, bacteriological or histological examination not done"
157,"01143","TB lung fibros-micro dx","Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
158,"01144","TB lung fibrosis-cult dx","Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
159,"01145","TB lung fibros-histo dx","Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
160,"01146","TB lung fibros-oth test","Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
162,"01151","TB bronchiect-no exam","Tuberculous bronchiectasis, bacteriological or histological examination not done"
163,"01152","TB bronchiect-exam unkn","Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
164,"01153","TB bronchiect-micro dx","Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
165,"01154","TB bronchiect-cult dx","Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
166,"01155","TB bronchiect-histo dx","Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
167,"01156","TB bronchiect-oth test","Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
168,"01160","TB pneumonia-unspec","Tuberculous pneumonia [any form], unspecified"
169,"01161","TB pneumonia-no exam","Tuberculous pneumonia [any form], bacteriological or histological examination not done"
170,"01162","TB pneumonia-exam unkn","Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
172,"01164","TB pneumonia-cult dx","Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
173,"01165","TB pneumonia-histo dx","Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
174,"01166","TB pneumonia-oth test","Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
175,"01170","TB pneumothorax-unspec","Tuberculous pneumothorax, unspecified"
176,"01171","TB pneumothorax-no exam","Tuberculous pneumothorax, bacteriological or histological examination not done"
178,"01173","TB pneumothorax-micro dx","Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
183,"01181","Pulmonary TB NEC-no exam","Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
184,"01182","Pulmon TB NEC-exam unkn","Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
189,"01190","Pulmonary TB NOS-unspec","Pulmonary tuberculosis, unspecified, unspecified"
190,"01191","Pulmonary TB NOS-no exam","Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
191,"01192","Pulmon TB NOS-exam unkn","Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
193,"01194","Pulmon TB NOS-cult dx","Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
194,"01195","Pulmon TB NOS-histo dx","Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
195,"01196","Pulmon TB NOS-oth test","Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
196,"01200","TB pleurisy-unspec","Tuberculous pleurisy, unspecified"
197,"01201","TB pleurisy-no exam","Tuberculous pleurisy, bacteriological or histological examination not done"
198,"01202","TB pleurisy-exam unkn","Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
202,"01206","TB pleurisy-oth test","Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
204,"01211","TB thorax node-no exam","Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
205,"01212","TB thorax node-exam unkn","Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
206,"01213","TB thorax node-micro dx","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
208,"01215","TB thorax node-histo dx","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
209,"01216","TB thorax node-oth test","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
210,"01220","Isol tracheal tb-unspec","Isolated tracheal or bronchial tuberculosis, unspecified"
211,"01221","Isol tracheal tb-no exam","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
212,"01222","Isol trach tb-exam unkn","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
213,"01223","Isolat trach tb-micro dx","Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
214,"01224","Isol tracheal tb-cult dx","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
215,"01225","Isolat trach tb-histo dx","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
217,"01230","TB laryngitis-unspec","Tuberculous laryngitis, unspecified"
218,"01231","TB laryngitis-no exam","Tuberculous laryngitis, bacteriological or histological examination not done"
219,"01232","TB laryngitis-exam unkn","Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
221,"01234","TB laryngitis-cult dx","Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
222,"01235","TB laryngitis-histo dx","Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
223,"01236","TB laryngitis-oth test","Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
225,"01281","Resp TB NEC-no exam","Other specified respiratory tuberculosis, bacteriological or histological examination not done"
227,"01283","Resp TB NEC-micro dx","Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,"01284","Resp TB NEC-cult dx","Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,"01285","Resp TB NEC-histo dx","Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,"01286","Resp TB NEC-oth test","Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,"01300","TB meningitis-unspec","Tuberculous meningitis, unspecified"
232,"01301","TB meningitis-no exam","Tuberculous meningitis, bacteriological or histological examination not done"
233,"0010","Cholera d/t vib cholerae","Cholera due to vibrio cholerae"
234,"0011","Cholera d/t vib el tor","Cholera due to vibrio cholerae el tor"
237,"0021","Paratyphoid fever a","Paratyphoid fever A"
239,"0023","Paratyphoid fever c","Paratyphoid fever C"
240,"0029","Paratyphoid fever NOS","Paratyphoid fever, unspecified"
241,"0030","Salmonella enteritis","Salmonella gastroenteritis"
242,"0031","Salmonella septicemia","Salmonella septicemia"
243,"00320","Local salmonella inf NOS","Localized salmonella infection, unspecified"
244,"00321","Salmonella meningitis","Salmonella meningitis"
245,"00322","Salmonella pneumonia","Salmonella pneumonia"
246,"00323","Salmonella arthritis","Salmonella arthritis"
247,"00324","Salmonella osteomyelitis","Salmonella osteomyelitis"
248,"00329","Local salmonella inf NEC","Other localized salmonella infections"
249,"0038","Salmonella infection NEC","Other specified salmonella infections"
251,"0040","Shigella dysenteriae","Shigella dysenteriae"
252,"0041","Shigella flexneri","Shigella flexneri"
253,"0042","Shigella boydii","Shigella boydii"
254,"0043","Shigella sonnei","Shigella sonnei"
255,"0048","Shigella infection NEC","Other specified shigella infections"
257,"0050","Staph food poisoning","Staphylococcal food poisoning"
258,"0051","Botulism food poisoning","Botulism food poisoning"
259,"0052","Food pois d/t c. perfrin","Food poisoning due to Clostridium perfringens (C. welchii)"
260,"0053","Food pois: clostrid NEC","Food poisoning due to other Clostridia"
262,"00581","Food poisn d/t v. vulnif","Food poisoning due to Vibrio vulnificus"
263,"00589","Bact food poisoning NEC","Other bacterial food poisoning"
265,"0060","Ac amebiasis w/o abscess","Acute amebic dysentery without mention of abscess"
266,"0061","Chr amebiasis w/o absces","Chronic intestinal amebiasis without mention of abscess"
268,"01676","TB fem gen NEC-oth test","Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
271,"01692","Gu TB NOS-exam unkn","Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
273,"01694","Gu TB NOS-cult dx","Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
274,"01695","Gu TB NOS-histo dx","Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
276,"01700","TB skin/subcutan-unspec","Tuberculosis of skin and subcutaneous cellular tissue, unspecified"
277,"01701","TB skin/subcut-no exam","Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
278,"01702","TB skin/subcut-exam unkn","Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)"
279,"01703","TB skin/subcut-micro dx","Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy"
280,"01704","TB skin/subcut-cult dx","Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
281,"01705","TB skin/subcut-histo dx","Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
282,"01706","TB skin/subcut-oth test","Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
283,"01710","Erythema nodos tb-unspec","Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
285,"01712","Erythem nod tb-exam unkn","Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
286,"01713","Erythem nod tb-micro dx","Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy"
287,"01714","Erythem nodos tb-cult dx","Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
288,"01715","Erythem nod tb-histo dx","Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
289,"01582","TB joint NEC-exam unkn","Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)"
290,"01583","TB of joint NEC-micro dx","Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy"
293,"01586","TB of joint NEC-oth test","Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
294,"01590","TB bone/joint NOS-unspec","Tuberculosis of unspecified bones and joints, unspecified"
295,"01591","TB bone/jt NOS-no exam","Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done"
296,"01592","TB bone/jt NOS-exam unkn","Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)"
298,"01594","TB bone/jt NOS-cult dx","Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
299,"01595","TB bone/jt NOS-histo dx","Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
300,"01596","TB bone/jt NOS-oth test","Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
301,"01600","TB of kidney-unspec","Tuberculosis of kidney, unspecified"
302,"01601","TB of kidney-no exam","Tuberculosis of kidney, bacteriological or histological examination not done"
303,"01602","TB of kidney-exam unkn","Tuberculosis of kidney, bacteriological or histological examination unknown (at present)"
304,"01603","TB of kidney-micro dx","Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy"
307,"01606","TB of kidney-oth test","Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
308,"01610","TB of bladder-unspec","Tuberculosis of bladder, unspecified"
309,"01611","TB of bladder-no exam","Tuberculosis of bladder, bacteriological or histological examination not done"
310,"01612","TB of bladder-exam unkn","Tuberculosis of bladder, bacteriological or histological examination unknown (at present)"
311,"01613","TB of bladder-micro dx","Tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy"
313,"01615","TB of bladder-histo dx","Tuberculosis of bladder, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
314,"01616","TB of bladder-oth test","Tuberculosis of bladder, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
315,"01620","TB of ureter-unspec","Tuberculosis of ureter, unspecified"
317,"01622","TB of ureter-exam unkn","Tuberculosis of ureter, bacteriological or histological examination unknown (at present)"
318,"01623","TB of ureter-micro dx","Tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy"
321,"01626","TB of ureter-oth test","Tuberculosis of ureter, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
322,"01630","TB urinary NEC-unspec","Tuberculosis of other urinary organs, unspecified"
323,"01631","TB urinary NEC-no exam","Tuberculosis of other urinary organs, bacteriological or histological examination not done"
324,"01632","TB urinary NEC-exam unkn","Tuberculosis of other urinary organs, bacteriological or histological examination unknown (at present)"
325,"01633","TB urinary NEC-micro dx","Tuberculosis of other urinary organs, tubercle bacilli found (in sputum) by microscopy"
327,"01635","TB urinary NEC-histo dx","Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
332,"01643","TB epididymis-micro dx","Tuberculosis of epididymis, tubercle bacilli found (in sputum) by microscopy"
333,"01644","TB epididymis-cult dx","Tuberculosis of epididymis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
334,"01645","TB epididymis-histo dx","Tuberculosis of epididymis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
335,"01646","TB epididymis-oth test","Tuberculosis of epididymis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
336,"01650","TB male genit NEC-unspec","Tuberculosis of other male genital organs, unspecified"
337,"01651","TB male gen NEC-no exam","Tuberculosis of other male genital organs, bacteriological or histological examination not done"
338,"01652","TB male gen NEC-ex unkn","Tuberculosis of other male genital organs, bacteriological or histological examination unknown (at present)"
340,"01654","TB male gen NEC-cult dx","Tuberculosis of other male genital organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
341,"01655","TB male gen NEC-histo dx","Tuberculosis of other male genital organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
342,"01656","TB male gen NEC-oth test","Tuberculosis of other male genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
344,"01661","TB ovary & tube-no exam","Tuberculous oophoritis and salpingitis, bacteriological or histological examination not done"
345,"01662","TB ovary/tube-exam unkn","Tuberculous oophoritis and salpingitis, bacteriological or histological examination unknown (at present)"
346,"01663","TB ovary & tube-micro dx","Tuberculous oophoritis and salpingitis, tubercle bacilli found (in sputum) by microscopy"
348,"01665","TB ovary & tube-histo dx","Tuberculous oophoritis and salpingitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
351,"01671","TB fem gen NEC-no exam","Tuberculosis of other female genital organs, bacteriological or histological examination not done"
352,"01672","TB fem gen NEC-exam unkn","Tuberculosis of other female genital organs, bacteriological or histological examination unknown (at present)"
353,"01673","TB fem gen NEC-micro dx","Tuberculosis of other female genital organs, tubercle bacilli found (in sputum) by microscopy"
354,"01674","TB fem gen NEC-cult dx","Tuberculosis of other female genital organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
356,"0844","Malaria NEC","Other malaria"
357,"0845","Mixed malaria","Mixed malaria"
359,"0847","Induced malaria","Induced malaria"
360,"0848","Blackwater fever","Blackwater fever"
361,"0849","Malaria complicated NEC","Other pernicious complications of malaria"
362,"0850","Visceral leishmaniasis","Visceral [kala-azar] leishmaniasis"
363,"0851","Cutan leishmanias urban","Cutaneous leishmaniasis, urban"
365,"0853","Cutan leishmanias ethiop","Cutaneous leishmaniasis, Ethiopian"
366,"0854","Cutan leishmanias amer","Cutaneous leishmaniasis, American"
367,"0855","Mucocutan leishmaniasis","Mucocutaneous leishmaniasis, (American)"
369,"0860","Chagas disease of heart","Chagas' disease with heart involvement"
370,"0861","Chagas dis of oth organ","Chagas' disease with other organ involvement"
371,"0862","Chagas disease NOS","Chagas' disease without mention of organ involvement"
372,"0863","Gambian trypanosomiasis","Gambian trypanosomiasis"
374,"0865","African trypanosoma NOS","African trypanosomiasis, unspecified"
377,"0871","Tick-borne relaps fever","Relapsing fever, tick-borne"
378,"0879","Relapsing fever NOS","Relapsing fever, unspecified"
379,"0880","Bartonellosis","Bartonellosis"
381,"08882","Babesiosis","Babesiosis"
382,"08889","Oth arthropod-borne dis","Other specified arthropod-borne diseases, other"
383,"0889","Arthropod-borne dis NOS","Arthropod-borne disease, unspecified"
384,"0900","Early cong syph symptom","Early congenital syphilis, symptomatic"
385,"0901","Early congen syph latent","Early congenital syphilis, latent"
387,"0903","Syphilitic keratitis","Syphilitic interstitial keratitis"
389,"09041","Congen syph encephalitis","Congenital syphilitic encephalitis"
390,"09042","Congen syph meningitis","Congenital syphilitic meningitis"
392,"0905","Late congen syph symptom","Other late congenital syphilis, symptomatic"
393,"0906","Late congen syph latent","Late congenital syphilis, latent"
394,"0907","Late congen syph NOS","Late congenital syphilis, unspecified"
